"word","largo"
"a",1
"acuerdo",7
"adelante",8
"ademas",6
"además",6
"adrede",6
"ahi",3
"ahí",3
"ahora",5
"al",2
"alli",4
"allí",4
"alrededor",9
"antano",6
"antaño",6
"ante",4
"antes",5
"apenas",6
"aproximadamente",15
"aquel",5
"aquél",5
"aquella",7
"aquélla",7
"aquellas",8
"aquéllas",8
"aquello",7
"aquellos",8
"aquéllos",8
"aqui",4
"aquí",4
"arribaabajo",11
"asi",3
"así",3
"aun",3
"aún",3
"aunque",6
"bajo",4
"bastante",8
"bien",4
"breve",5
"casi",4
"cerca",5
"claro",5
"como",4
"cómo",4
"con",3
"conmigo",7
"contigo",7
"contra",6
"cual",4
"cuál",4
"cuales",6
"cuáles",6
"cuando",6
"cuándo",6
"cuanta",6
"cuánta",6
"cuantas",7
"cuántas",7
"cuanto",6
"cuánto",6
"cuantos",7
"cuántos",7
"de",2
"debajo",6
"del",3
"delante",7
"demasiado",9
"dentro",6
"deprisa",7
"desde",5
"despacio",8
"despues",7
"después",7
"detras",6
"detrás",6
"dia",3
"día",3
"dias",4
"días",4
"donde",5
"dónde",5
"dos",3
"durante",7
"el",2
"él",2
"ella",4
"ellas",5
"ellos",5
"en",2
"encima",6
"enfrente",8
"enseguida",9
"entre",5
"es",2
"esa",3
"ésa",3
"esas",4
"ésas",4
"ese",3
"ése",3
"eso",3
"esos",4
"ésos",4
"esta",4
"está",4
"ésta",4
"estado",6
"estados",7
"estan",5
"están",5
"estar",5
"estas",5
"éstas",5
"este",4
"éste",4
"esto",4
"estos",5
"éstos",5
"ex",2
"excepto",7
"final",5
"fue",3
"fuera",5
"fueron",6
"g",1
"general",7
"gran",4
"ha",2
"habia",5
"había",5
"habla",5
"hablan",6
"hace",4
"hacia",5
"han",3
"hasta",5
"hay",3
"horas",5
"hoy",3
"i",1
"incluso",7
"informo",7
"informó",7
"junto",5
"la",2
"lado",4
"las",3
"le",2
"lejos",5
"lo",2
"los",3
"luego",5
"mal",3
"mas",3
"más",3
"mayor",5
"me",2
"medio",5
"mejor",5
"menos",5
"menudo",6
"mi",2
"mí",2
"mia",3
"mía",3
"mias",4
"mías",4
"mientras",8
"mio",3
"mío",3
"mios",4
"míos",4
"mis",3
"mismo",5
"mucho",5
"muy",3
"nada",4
"nadie",5
"ninguna",7
"no",2
"nos",3
"nosotras",8
"nosotros",8
"nuestra",7
"nuestras",8
"nuestro",7
"nuestros",8
"nueva",5
"nuevo",5
